,request_time,file,prediction_time,prediction_label
0,0.32814621925354004,BIG\backward\0165e0e8_nohash_0.wav,0.24573421478271484,stop
1,0.08309197425842285,BIG\backward\017c4098_nohash_0.wav,0.05263376235961914,yes
2,0.08352780342102051,BIG\backward\017c4098_nohash_1.wav,0.0520329475402832,yes
3,0.11346030235290527,BIG\backward\017c4098_nohash_2.wav,0.05111885070800781,yes
4,0.1266477108001709,BIG\backward\017c4098_nohash_3.wav,0.05174136161804199,yes
5,0.11828327178955078,BIG\backward\017c4098_nohash_4.wav,0.055511474609375,yes
6,0.11832451820373535,BIG\backward\02ade946_nohash_0.wav,0.05379438400268555,yes
7,0.12067317962646484,BIG\backward\02ade946_nohash_1.wav,0.054175615310668945,yes
8,0.12036919593811035,BIG\backward\02ade946_nohash_2.wav,0.054297685623168945,yes
9,0.12569856643676758,BIG\backward\02ade946_nohash_3.wav,0.06324481964111328,yes
10,0.11636137962341309,BIG\backward\02ade946_nohash_4.wav,0.054594993591308594,yes
11,0.11958789825439453,BIG\backward\03401e93_nohash_0.wav,0.05456662178039551,yes
12,0.11972212791442871,BIG\backward\03401e93_nohash_1.wav,0.0571136474609375,yes
13,0.11703944206237793,BIG\backward\042a8dde_nohash_0.wav,0.0524296760559082,yes
14,0.12368988990783691,BIG\backward\042a8dde_nohash_1.wav,0.055086612701416016,yes
15,0.11522889137268066,BIG\backward\042a8dde_nohash_2.wav,0.052869558334350586,backward
16,0.12092161178588867,BIG\backward\042a8dde_nohash_3.wav,0.05427718162536621,on
17,0.11788320541381836,BIG\backward\050170cb_nohash_0.wav,0.052312612533569336,yes
18,0.1399552822113037,BIG\backward\050170cb_nohash_1.wav,0.0738222599029541,yes
19,0.09899234771728516,BIG\backward\050170cb_nohash_2.wav,0.053234100341796875,yes
20,0.12396097183227539,BIG\backward\050170cb_nohash_3.wav,0.05666089057922363,yes
21,0.11902976036071777,BIG\backward\050170cb_nohash_4.wav,0.0559079647064209,yes
22,0.11816716194152832,BIG\backward\0585b66d_nohash_0.wav,0.05304980278015137,yes
23,0.11450672149658203,BIG\backward\0585b66d_nohash_1.wav,0.05322885513305664,yes
24,0.12447786331176758,BIG\backward\0585b66d_nohash_2.wav,0.052449941635131836,yes
25,0.11939406394958496,BIG\backward\0585b66d_nohash_3.wav,0.05432248115539551,yes
26,0.11575078964233398,BIG\backward\0585b66d_nohash_4.wav,0.052379608154296875,yes
27,0.13136553764343262,BIG\backward\067f61e2_nohash_0.wav,0.06492424011230469,yes
28,0.11178755760192871,BIG\backward\067f61e2_nohash_1.wav,0.05465221405029297,yes
29,0.12481427192687988,BIG\backward\067f61e2_nohash_2.wav,0.058304548263549805,yes
30,0.11570096015930176,BIG\backward\067f61e2_nohash_3.wav,0.05482292175292969,yes
31,0.12083268165588379,BIG\backward\067f61e2_nohash_4.wav,0.05384397506713867,yes
32,0.11933469772338867,BIG\backward\06f6c194_nohash_0.wav,0.0540156364440918,yes
33,0.1262497901916504,BIG\backward\06f6c194_nohash_1.wav,0.05422472953796387,yes
34,0.1149439811706543,BIG\backward\06f6c194_nohash_2.wav,0.05673813819885254,yes
35,0.12445545196533203,BIG\backward\06f6c194_nohash_3.wav,0.05860328674316406,yes
36,0.12241268157958984,BIG\backward\06f6c194_nohash_4.wav,0.0628809928894043,yes
37,0.11280059814453125,BIG\backward\08ab231c_nohash_0.wav,0.05522584915161133,yes
38,0.13274312019348145,BIG\backward\08ab231c_nohash_1.wav,0.06606006622314453,yes
39,0.12382054328918457,BIG\backward\08ab231c_nohash_2.wav,0.056534767150878906,yes
40,0.10388803482055664,BIG\backward\08ab231c_nohash_3.wav,0.05615997314453125,yes
41,0.1187293529510498,BIG\backward\08ab231c_nohash_4.wav,0.05206751823425293,yes
42,0.1199188232421875,BIG\backward\0a2b400e_nohash_0.wav,0.05191469192504883,yes
43,0.12323498725891113,BIG\backward\0a2b400e_nohash_1.wav,0.05568099021911621,yes
